"Message",Low,"Starting .NET Native compilation"
"Message",Low,""
"Message",Low,""
"Message",Low,"Task ""Gatekeeper"""
"Message",Normal,"Launching 'C:\Users\China\.nuget\packages\runtime.win10-x86.microsoft.net.native.compiler\2.2.10-rel-29722-00\tools\x86\ilc\ilc.exe --gatekeeper @""D:\Project\Windows 10 App\LinphoneUWP\PhonePro\obj\x86\Release\ilc\intermediate\gkargs.rsp""'"
"Message",Low,"Microsoft (R) .NET Native Gatekeeper Version 2.2.29722.00 "
"Message",Low,"Copyright (C) Microsoft Corporation.  All rights reserved. "
"Message",Low," "
"Message",Low,"Checking assembly 'D:\Project\Windows 10 App\LinphoneUWP\PhonePro\obj\x86\Release\ilc\in\CsWrapper.dll'. "
"Message",Low,"Checking assembly 'D:\Project\Windows 10 App\LinphoneUWP\PhonePro\obj\x86\Release\ilc\in\Microsoft.Toolkit.Mvvm.dll'. "
"Message",Low,"Checking assembly 'D:\Project\Windows 10 App\LinphoneUWP\PhonePro\obj\x86\Release\ilc\in\Microsoft.Xaml.Interactions.dll'. "
"Message",Low,"Checking assembly 'D:\Project\Windows 10 App\LinphoneUWP\PhonePro\obj\x86\Release\ilc\in\Microsoft.Xaml.Interactivity.dll'. "
"Message",Low,"Checking assembly 'D:\Project\Windows 10 App\LinphoneUWP\PhonePro\obj\x86\Release\ilc\in\PhonePro.exe'. "
"Message",Normal,"'C:\Users\China\.nuget\packages\runtime.win10-x86.microsoft.net.native.compiler\2.2.10-rel-29722-00\tools\x86\ilc\ilc.exe --gatekeeper @""D:\Project\Windows 10 App\LinphoneUWP\PhonePro\obj\x86\Release\ilc\intermediate\gkargs.rsp""' completed."
"Message",Normal,"Process execution statistics (all times in milliseconds)"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"launch  |  start   |   stop   |   end    | duration | lifetime | [slot] name"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"       0 |        0 |      406 |      656 |      406 |      656 | [0] Gatekeeper"
"Message",Normal,"Number of commands:      1"
"Message",Normal,"Total system time:       656 ms"
"Message",Normal,"System time per command: 656 ms"
"Message",Normal,"Total duration:          406 ms"
"Message",Normal,"Total lifetime:          656 ms"
"Message",Normal,"Requested DOP:           8"
"Message",Normal,"Duration DOP:            0,6"
"Message",Normal,"Lifetime DOP:            1,0"
"Message",Low,"Done executing task ""Gatekeeper""."
"Message",Low,"Done building target ""RunGatekeeper"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Done building target ""CreateToolchainGeneratedAssembly"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Task ""PreMergeAssemblyClosure"""
"Message",Low,"Done executing task ""PreMergeAssemblyClosure""."
"Message",Low,"Done building target ""ConstructPreMergeAssemblyClosure"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Task ""McgReferenceResolveFilePath"""
"Message",Low,"Done executing task ""McgReferenceResolveFilePath""."
"Message",Low,"Done building target ""PreResolveTransforms"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Task ""ResolveToolchainRequiredAssemblyRoots"""
"Message",Low,"Done executing task ""ResolveToolchainRequiredAssemblyRoots""."
"Message",Low,"Task ""ILTransformAssemblyClosure"""
"Message",Low,"Done executing task ""ILTransformAssemblyClosure""."
"Message",Low,"Task ""ResolveToolchainRequiredAssemblyRoots"""
"Message",Low,"Done executing task ""ResolveToolchainRequiredAssemblyRoots""."
"Message",Low,"Task ""ReducedCopyAssemblyClosure"""
"Message",Low,"Done executing task ""ReducedCopyAssemblyClosure""."
"Message",Low,"Done building target ""ConstructILTransformAssemblyClosure"" in file ""Preparation""."
"Message",Low,"Done building project ""Preparation""."
"Message",Low,""
"Message",Low,""
"Message",High,"Processing application code"
"Message",Low,"Task ""RunILTransforms"""
"Message",Normal,"Running 'DumpNativeResources' transform, heap at 192 MB."
"Message",Normal,"Running 'Analysis' transform, heap at 207 MB."
"Message",Low,"Loading 91 modules..."
"Message",Normal,"Imported reflection directives from 15 files:"
"Message",Normal,"D:\Project\Windows 10 App\LinphoneUWP\PhonePro\obj\x86\Release\ilc\in\Properties\Default.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.Interop: Resources.System.Private.Interop.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.WinRTInterop.CoreLib: Resources.System.Private.WinRTInterop.CoreLib.rd.xml"
"Message",Normal,"Embedded manifest in System.Runtime.WindowsRuntime.UI.Xaml: Resources.System.Runtime.WindowsRuntime.UI.Xaml.rd.xml"
"Message",Normal,"Embedded manifest in CsWrapper: CsWrapper.Properties.CsWrapper.rd.xml"
"Message",Normal,"Embedded manifest in Microsoft.Xaml.Interactions: Microsoft.Xaml.Interactions.Properties.Microsoft.Xaml.Interactions.rd.xml"
"Message",Normal,"Embedded manifest in Microsoft.Xaml.Interactivity: Microsoft.Xaml.Interactivity.Properties.Microsoft.Xaml.Interactivity.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.CoreLib: Resources.System.Private.CoreLib.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.Uri: Resources.System.Private.Uri.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.Reflection.Core: System.Private.Reflection.Core.rd.xml"
"Message",Normal,"Embedded manifest in System.ComponentModel.Annotations: System.ComponentModel.Annotations.Resources.System.ComponentModel.Annotations.rd.xml"
"Message",Normal,"Embedded manifest in System.Linq.Expressions: System.Linq.Expressions.Resources.System.Linq.Expressions.rd.xml"
"Message",Normal,"Embedded manifest in System.ComponentModel.TypeConverter: System.ComponentModel.TypeConverter.Resources.System.ComponentModel.TypeConverter.rd.xml"
"Message",Normal,"Embedded manifest in System.Runtime.Serialization.Formatters: System.Runtime.Serialization.Formatters.Resources.System.Runtime.Serialization.Formatters.rd.xml"
"Message",Normal,"Embedded manifest in System.Net.Primitives: Resources.System.Net.Primitives.rd.xml"
"Message",Normal,"Imported XAML Roots from 1 files:"
"Message",Normal,"D:\Project\Windows 10 App\LinphoneUWP\PhonePro\obj\x86\Release\ilc\in\PhonePro.xr.xml"
"Message",Normal,"Running 'Mcg' transform, heap at 216 MB."
"Message",High,"Computing application closure and generating interop code"
"Message",High,"  Loading 91 modules..."
"Message",Normal,"          P/Invoke 'belle_sip_object_data_set' resolved to 'belle_sip_object_data_set!bellesip' from 'bellesip'."
"Message",Normal,"          P/Invoke 'belle_sip_object_data_get' resolved to 'belle_sip_object_data_get!bellesip' from 'bellesip'."
"Message",Normal,"          P/Invoke 'belle_sip_object_ref' resolved to 'belle_sip_object_ref!bellesip' from 'bellesip'."
"Message",Normal,"          P/Invoke 'belle_sip_object_unref' resolved to 'belle_sip_object_unref!bellesip' from 'bellesip'."
"Message",Normal,"          P/Invoke 'belle_sip_object_data_remove' resolved to 'belle_sip_object_data_remove!bellesip' from 'bellesip'."
"Message",Normal,"          P/Invoke 'bctbx_list_next' resolved to 'bctbx_list_next!bctoolbox' from 'bctoolbox'."
"Message",Normal,"          P/Invoke 'bctbx_list_get_data' resolved to 'bctbx_list_get_data!bctoolbox' from 'bctoolbox'."
"Message",Normal,"          P/Invoke 'bctbx_list_append' resolved to 'bctbx_list_append!bctoolbox' from 'bctoolbox'."
"Message",Normal,"          P/Invoke 'ms_factory_enable_filter_from_name' resolved to 'ms_factory_enable_filter_from_name!mediastreamer' from 'mediastreamer'."
"Message",Normal,"          P/Invoke 'ms_devices_info_add' resolved to 'ms_devices_info_add!mediastreamer' from 'mediastreamer'."
"Message",Normal,"          P/Invoke 'ms_factory_get_devices_info' resolved to 'ms_factory_get_devices_info!mediastreamer' from 'mediastreamer'."
"Message",Normal,"          P/Invoke 'linphone_account_creator_get_current_callbacks' resolved to 'linphone_account_creator_get_current_callbacks!liblinphone' from 'liblinphone'."
"Message",Normal,"          P/Invoke 'linphone_account_creator_cbs_set_create_account' resolved to 'linphone_account_creator_cbs_set_create_account!liblinphone' from 'liblinphone'."
"Message",Normal,"          P/Invoke 'linphone_account_creator_cbs_set_is_account_exist' resolved to 'linphone_account_creator_cbs_set_is_account_exist!liblinphone' from 'liblinphone'."
"Message",Normal,"          P/Invoke 'linphone_account_creator_cbs_set_activate_account' resolved to 'linphone_account_creator_cbs_set_activate_account!liblinphone' from 'liblinphone'."
